Complex_ID,Complex_Name,Subunits_UniProt_IDs,Database
Complex_0,BCL6-HDAC4 complex,"P41182, P56524","CORUM_Core, CORUM_All"
Complex_1,BCL6-HDAC5 complex,"Q9UQL6, P41182","CORUM_Core, CORUM_All"
Complex_2,BCL6-HDAC7 complex,"Q8WUI4, P41182","CORUM_Core, CORUM_All"
Complex_3,Multisubunit ACTR coactivator complex,"Q9Y6Q9, Q92793, Q09472, Q92831","CORUM_Core, CORUM_All"
Complex_4,6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex,"P30561, P53762","CORUM_Core, CORUM_All"
Complex_5,Condensin I complex,"Q9BPX3, P42695, Q9NTJ3, O95347, P09874, Q15021, Q15003, P18887","CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Havugimana_2012"
Complex_6,BLOC-3 (biogenesis of lysosome-related organelles complex 3),"Q92902, Q9NQG7","CORUM_Core, CORUM_All"
Complex_7,BLOC-2 (biogenesis of lysosome-related organelles complex 2),"Q9UPZ3, Q86YV9, Q969F9","CORUM_Core, CORUM_All"
Complex_8,MUS81-CDS1 complex,"Q96NY9, Q92903","CORUM_Core, CORUM_All"
Complex_9,BLOC-2 (biogenesis of lysosome-related organelles complex 2),"Q91VB4, Q8BLY7, P59438",CORUM_All
Complex_10,NCOR complex,"O75376, Q92828, Q9BZK7, O60907, O15379, Q13227","CORUM_Core, CORUM_All"
Complex_11,BLOC-1 (biogenesis of lysosome-related organelles complex 1),"Q9NUP1, P78537, Q8TDH9, Q9UPZ3, O95295, Q96EV8, Q969F9, Q6QNY0, Q13330, Q86YV9, Q6QNY1, Q9UL45","Heusel_BioPlex_2019, CORUM_Core, Heusel_StringDB_2019, CORUM_All"
Complex_12,BLOC-1 (biogenesis of lysosome-related organelles complex 1),"Q9R0C0, Q8R015, Q91WZ8, Q8VED2, Q9CWG9, O55102, Q5U5M8, Q9Z266",CORUM_All
Complex_13,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,"P11499, P07901, O08915, P30561","CORUM_Core, CORUM_All"
Complex_14,Bestrophin-protein phosphatase 2A complex,"P54612, P67776, Q8WMR7","CORUM_Core, CORUM_All"
Complex_15,Arp2/3 protein complex,"P61160, O15144, O15143, P61158, Q9BPX5, Q92747, P59998, O15511, O15145","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019, Humap2, Havugimana_2012"
Complex_16,Modulator,"Q3SZ81, Q3SZ19, Q2KIW6","CORUM_Core, CORUM_All"
Complex_17,PA28 complex,"Q9UL46, Q06323","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Heusel_BioPlex_2019"
Complex_18,PA28 complex,"Q2KJE7, Q5E9G3",CORUM_All
Complex_19,PA700 complex,"Q16401, P48556, P55036, Q9UNM6, Q9Y5K5, Q99460, Q13200, P17980, O75832, Q9BRP4, P62195, O00487, P35998, O43242, P62191, O00231, O00233, P43686, Q15008, O00232, Q96LY2, P28070, Q8WW22, Q96EN9, P62333, P51665, Q16186","Heusel_BioPlex_2019, CORUM_Core, Humap2, CORUM_All"
Complex_20,Prefoldin complex,"Q86YJ5, Q9UHV9, Q99471, O15212, P61758, Q7Z3E1, Q9NQP4, O60925","Heusel_CSB_2019, CORUM_All, Heusel_StringDB_2019, CORUM_Core, Humap2"
Complex_21,Aqp4-Dag1-Dmd-Snta1 complex,"Q91XP6, P47863, Q498T0, P11530","CORUM_Core, CORUM_All"
Complex_22,AP1 adaptor complex,"O43747, Q96PC3, Q9BXS5, P61966, Q63HQ0, O75843, Q9Y6Q5, P56377, Q10567","Heusel_CSB_2019, CORUM_Core, CORUM_All"
Complex_23,Harmonin-CAD23 complex,"Q99PF4, Q9ES64",CORUM_All
Complex_24,20S proteasome,"P49722, Q60692, Q9Z2U1, O70435, Q9R1P4, Q9R1P0, Q9R1P1, P70195, O09061, Q9Z2U0, Q9R1P3, O55234, P99026, Q9QUM9",CORUM_All
Complex_25,Immunoproteasome,"P49722, P99026, P28063, Q9Z2U1, O70435, Q9R1P4, Q9R1P0, Q9R1P1, O35955, O09061, Q9Z2U0, Q9R1P3, P28076, Q9QUM9","CORUM_Core, CORUM_All"
Complex_26,"COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8)","Q8VBV7, O88543, P61202, Q99LD4, O88544, O88545, Q9CZ04, O35864",CORUM_All
Complex_27,Mi-2/NuRD-MTA3 complex,"Q9BTC8, P41182, Q13547, O94776, O95983","CORUM_Core, CORUM_All"
Complex_28,Cask-Mint-Veli tripartite complex,"Q62915, O35430, Q9Z250","CORUM_Core, CORUM_All"
Complex_29,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)","O00548, P49768, Q96BI3, P35613, Q92542, Q9NZ42, P49755","CORUM_Core, CORUM_All"
Complex_30,CASK-MINT complex,"O70589, B2RUJ5",CORUM_All
Complex_31,AP2 adaptor complex,"P17427, P84092, P63010, P62743","CORUM_Core, CORUM_All"
Complex_32,DNA polymerase alpha-primase complex,"P33610, P33609, P20664, P33611","CORUM_Core, CORUM_All"
Complex_33,RGS7-Gbeta5-Galphaq complex,"O46470, P62881, P21279","CORUM_Core, CORUM_All"
Complex_34,DNMT3B complex,"Q9NTJ3, O60264, Q9UBC3, O95347, Q13547, O95239, Q96ST3","CORUM_Core, CORUM_All"
Complex_35,RAB5-RABAPTIN5–RABEX5 complex,"P20339, Q15276, Q9UJ41","CORUM_Core, CORUM_All"
Complex_36,CCT complex (chaperonin containing TCP1 complex),"P80318, P11983, P80313, P80316, Q61390, P80314, P80317, P80315, P42932","CORUM_Core, CORUM_All"
