Protein A,Protein B
Q8IZ07,Q9NR80
Q8IZ07,Q96CS2
Q8IZ07,Q8NEV8
Q8IZ07,Q9H6D7
Q8IZ07,Q68CZ6
Q8IZ07,Q9BT25
Q8IZ07,Q6PFW1
Q8IZ07,E7ERD3
Q8IZ07,P58340
Q8IZ07,Q9NUJ3
Q8IZ07,Q9NUG6
Q8IZ07,Q9H992
Q8IZ07,Q99707
Q8IZ07,Q93045
Q8IZ07,P27707
Q8IZ07,Q6PJI9
Q8IZ07,Q7Z4H7
Q8IZ07,Q5W0B1
Q8N9E0,Q69YQ0
Q8N9E0,Q9Y608
Q8N9E0,P48378
Q8N9E0,P22670
Q8N9E0,Q96EY8
Q8N9E0,Q07157
Q8N9E0,Q93009
Q8N9E0,Q9P2X3
Q8N9E0,P28482
Q8N9E0,P27361
Q8N9E0,O00429
Q8N9E0,Q9Y450
Q8N9E0,P42785
Q8N9E0,P11182
Q8N9E0,Q96KB5
Q8N9E0,P29144
Q8N9E0,O15254
Q8N9E0,P49902
Q8N9E0,Q12933
Q8N9E0,O75052
Q8N9E0,Q6NYC1
Q8N9E0,Q16643
Q8N9E0,Q9ULT8
Q8N9E0,Q9P1U1
Q8N9E0,P19784
Q8N9E0,Q8N1G2
Q8N9E0,Q05086
Q8N9E0,P67775
Q8N9E0,P68400
Q8N9E0,Q9NS86
Q8N9E0,P67870
Q8N9E0,O75400
Q8N9E0,Q9ULA0
Q8N9E0,Q96EK7
Q8N9E0,P30566
Q8N9E0,Q9H3F6
Q8N9E0,Q9P2S5
Q8N9E0,Q9Y2L1
Q8N9E0,Q8WUA2
Q8N9E0,P49366
Q8N9E0,Q9H307
Q8N9E0,Q9GZN8
Q8N9E0,Q9UKG1
Q8N9E0,Q6YN16
Q8N9E0,P17252
Q8N9E0,Q5VZE5
Q8N9E0,Q6IN85
Q8N9E0,O14936
Q8N9E0,P04637
Q8N9E0,Q9UHB7
Q8N9E0,P55789
Q8N9E0,Q9UII2
Q8N9E0,Q15599
Q8N9E0,Q7L273
Q8N9E0,Q8N4P3
P12319,Q9Y3A5
P12319,P37088
P12319,Q9NXH8
P12319,P30613
P12319,Q08AS3
P12319,Q8TED1
P12319,P07478
P12319,Q86XL3
P12319,Q8WVC6
P12319,Q9H6A9
Q9UI43,P31327
Q9UI43,P46199
Q9UI43,P05165
Q9UI43,Q5JTZ9
Q9UI43,P09543
Q9UI43,Q9Y2Z4
Q9UI43,Q9Y375
Q9UI43,Q8IWV7
Q9UI43,P43155
Q9UI43,Q8TCS8
Q9UI43,Q8IUR7
Q9UI43,O43678
Q9UI43,Q96E29
Q9UI43,Q9Y606
Q9UI43,Q9Y2S7
Q9UI43,O43149
Q9UI43,O76031
Q9UI43,Q9UL63
Q9UI43,Q7L5Y9
Q9UI43,P05166
Q9UI43,Q96SZ6
Q9UI43,A3KMH1
Q9UI43,O94925
Q9UI43,P36776
Q9UI43,Q9H871
Q9UI43,Q6VN20
Q9UI43,Q5TC12
Q9UI43,Q6PI48
Q9UI43,P22830
Q9UI43,Q8IVV7
Q9UI43,Q5T447
Q9UI43,Q9H7H0
Q9UI43,Q4G176
Q9UI43,Q9NWU2
Q9UI43,Q9NX20
Q9UI43,Q96CM8
Q9UI43,P43897
Q9UI43,Q4J6C6
Q9UI43,Q96RQ3
Q9UI43,O95299
Q9UI43,Q96E11
Q9UI43,Q8WVZ9
