community_resource,complex_id,complex_name,subunits_annotated,n_subunits_annotated,subunits_with_MS_signal,n_subunits_with_MS_signal,subunits_coeluting,n_subunits_coeluting,completeness,left_feature_boundary,right_feature_boundary,feature_apex,feature_area,peak_corr,feature_area_subunits,intensity_ratio,stoichiometry_estimated,monomer_mw,monomer_sec,coelution_score,pvalue,qvalue,feature_id,best_feature,feature_count,relInt_sub,relInt_mean
bioplex,A0JLT2,A0JLT2,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;O95402;P24928;P49336;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q86YW9;Q8IXW5;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9H204;Q9H944;Q9NPJ6;Q9NVC6;Q9NWA0;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,35,O60244;O75448;O75586;P24928;Q15528;Q15648;Q6P2C8;Q71SY5;Q8IXW5;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NVC6;Q9NX70;Q9P086;Q9ULK4;Q9Y2X0,18,O60244;O75448;O75586;Q15528;Q15648;Q6P2C8;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NVC6;Q9P086;Q9ULK4;Q9Y2X0,14,0.4,1,23,10,1824236,0.894070607,147823;180347;28058;32414;239829;118251;107061;133476;157405;196328;137788;47475;112227;137277,5.26847957801697;6.4276498681303;1;1.15524983961793;8.54761565328961;4.21451992301661;3.81570318625704;4.75714591203935;5.60998645662556;6.99722004419417;4.91082757145912;1.69203079335662;3.99982179770475;4.89261529688502,5;6;1;1;9;4;4;5;6;7;5;2;4;5,160.607;110.305;28.425;22.221;168.478;35.432;243.081;20.277;23.222;29.745;72.89;13.129;156.474;96.793,42;46;59;61;42;57;38;62;61;58;50;66;42;47,0.999977382,0.000661376,0.001170711,1,1,4,1;1;1;0.67;0.95;0.95;1;0.86;0.47;0.74;0.99;0.83;0.98;0.74,0.87
bioplex,A0JLT2,A0JLT2,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;O95402;P24928;P49336;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q86YW9;Q8IXW5;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9H204;Q9H944;Q9NPJ6;Q9NVC6;Q9NWA0;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,35,O60244;O75448;O75586;P24928;Q15528;Q15648;Q6P2C8;Q71SY5;Q8IXW5;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NVC6;Q9NX70;Q9P086;Q9ULK4;Q9Y2X0,18,Q15528;Q96HR3,2,0.057142857,44,56,50,46395,0.956447468,16262;22253,1;1.36840487024966,1;1,22.221;20.277,61;62,NA,NA,NA,3,0,4,0.33;0.14,0.235
bioplex,A0JLT2,A0JLT2,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;O95402;P24928;P49336;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q86YW9;Q8IXW5;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9H204;Q9H944;Q9NPJ6;Q9NVC6;Q9NWA0;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,35,O60244;O75448;O75586;P24928;Q15528;Q15648;Q6P2C8;Q71SY5;Q8IXW5;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NVC6;Q9NX70;Q9P086;Q9ULK4;Q9Y2X0,18,Q15648;Q9NPJ6,2,0.057142857,21,31,24,63780,0.956034827,20308;40461,1;1.99236753988576,1;2,168.478;29.745,42;58,NA,NA,NA,4,0,4,0.08;0.15,0.115
bioplex,A0JLT2,A0JLT2,A0JLT2;B4DUB1;E5RFK5;O43513;O60244;O75448;O75586;O95402;P24928;P49336;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q86YW9;Q8IXW5;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9H204;Q9H944;Q9NPJ6;Q9NVC6;Q9NWA0;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,35,O60244;O75448;O75586;P24928;Q15528;Q15648;Q6P2C8;Q71SY5;Q8IXW5;Q93074;Q96HR3;Q9H944;Q9NPJ6;Q9NVC6;Q9NX70;Q9P086;Q9ULK4;Q9Y2X0,18,P24928;Q8IXW5,2,0.057142857,17,36,27,424474,0.906179822,314184;104064,3.01914206642066;1,3;1,217.176;69.509,39;50,NA,NA,NA,2,0,4,0.7;1,0.85
bioplex,A1A519,A1A519,A1A519;O95292;P14373;P48729;Q2KHR3;Q8N108;Q8N752;Q8NBT2;Q93009;Q96DF8;Q9H7S9;Q9HBM1;Q9NW07;Q9P0L0,14,O95292;Q2KHR3;Q8N108;Q8NBT2;Q93009;Q9HBM1;Q9P0L0,7,O95292;Q8NBT2;Q9HBM1;Q9P0L0,4,0.285714286,1,15,9,6760730,0.930609339,1642599;129774;127686;4859528,12.8643625769466;1.01635261500869;1;38.0584245727801,13;1;1;38,27.228;22.478;26.153;27.893,59;61;60;59,0.943479803,0.019179894,0.020203172,5,1,2,0.57;0.13;0.17;0.55,0.355
bioplex,A1A519,A1A519,A1A519;O95292;P14373;P48729;Q2KHR3;Q8N108;Q8N752;Q8NBT2;Q93009;Q96DF8;Q9H7S9;Q9HBM1;Q9NW07;Q9P0L0,14,O95292;Q2KHR3;Q8N108;Q8NBT2;Q93009;Q9HBM1;Q9P0L0,7,Q8NBT2;Q9HBM1,2,0.142857143,18,28,24,569794,0.991192621,310955;258839,1.20134523777329;1,1;1,22.478;26.153,61;60,NA,NA,NA,6,0,2,0.32;0.34,0.33
bioplex,A2RRP1,A2RRP1,A2RRP1;O43752;Q86Y82;Q99747;Q9NZ43;Q9P2W9;Q9UEU0,7,A2RRP1;O43752;Q86Y82;Q99747;Q9NZ43;Q9P2W9;Q9UEU0,7,A2RRP1;Q9NZ43;Q9P2W9,3,0.428571429,1,30,6,543624,0.92256882,163815;160910;204077,1.01805357031881;1;1.26826797588714,1;1;1,268.571;29.371;38.674,37;58;56,0.927084075,0.027116402,0.026034451,7,1,2,1;1;1,1
bioplex,A2RRP1,A2RRP1,A2RRP1;O43752;Q86Y82;Q99747;Q9NZ43;Q9P2W9;Q9UEU0,7,A2RRP1;O43752;Q86Y82;Q99747;Q9NZ43;Q9P2W9;Q9UEU0,7,O43752;Q86Y82;Q99747,3,0.428571429,1,17,10,1230128,0.87954686,175677;716379;337861,1;4.07781895182636;1.92319427130472,1;4;2,29.176;31.642;34.746,58;58;57,NA,NA,NA,8,0,2,0.72;0.59;0.3,0.536666667
bioplex,A2RU30,A2RU30,A2RU30;P28290;P61981;P63104;Q14571;Q14573;Q14643;Q5VU13;Q9P0J7;Q9UMX3,10,P61981;P63104;Q14571;Q14573;Q14643;Q9P0J7,6,P61981;P63104,2,0.2,45,75,50,22524430,0.987441801,3931203;18593227,1;4.72965323846161,1;5,28.303;27.745,59;59,0.892490432,0.040343915,0.034439928,10,1,2,0.8;0.88,0.84
bioplex,A2RU30,A2RU30,A2RU30;P28290;P61981;P63104;Q14571;Q14573;Q14643;Q5VU13;Q9P0J7;Q9UMX3,10,P61981;P63104;Q14571;Q14573;Q14643;Q9P0J7,6,P61981;P63104,2,0.2,1,15,9,565807,0.981632336,149766;416041,1;2.77794025346207,1;3,28.303;27.745,59;59,NA,NA,NA,9,0,2,0.03;0.02,0.025
