ComplexID,Subunits_UniProt_IDs
C_1,"O60547,P30043"
C_2,"Q92785,Q9NVP1"
C_3,"Q86Y82,O95249"
C_4,"Q9UPN6,P26583"
C_5,"P15408,P18846"
C_6,"P23258,Q9UGJ1"
C_7,"Q96FW1,Q8N6M0"
C_8,"Q9H6T3,Q9NWS0"
C_9,"Q9H2W6,Q9UJS0"
C_10,"Q9Y3C4,Q96S44"
C_11,"Q9UDY4,O95433"
C_12,"Q92917,Q99700"
C_13,"O00534,P06126"
C_14,"Q53EL6,P55055"
C_15,"P46013,Q8IVH2"
C_16,"Q15181,Q9Y281"
C_17,"P42338,P27986"
C_18,"Q14118,P57737"
C_19,"Q13131,Q9Y478"
C_20,"Q9H0R4,Q96FN9"
C_21,"Q9NYV6,Q96T37"
C_22,"Q6UVK1,P04632"
C_23,"Q99417,Q9UHL4"
C_24,"Q9Y6N7,P53778"
C_25,"O15047,Q9UBL3"
C_26,"Q13630,Q8WXX5"
C_27,"Q969U7,O95456"
C_28,"O95197,Q9NRG1"
C_29,"Q8WVY7,Q14558"
C_30,"Q8WXI9,Q13330"
C_31,"Q9NRY2,Q68E01"
C_32,"Q13043,Q99584"
C_33,"O60488,O95573"
C_34,"Q14764,Q9H444"
C_35,"O43752,Q8TDX6"
C_36,"Q9BQ67,Q9P287"
C_37,"Q9UI15,O15305"
C_38,"P13693,Q99426"
C_39,"Q96SI9,Q9UBS0"
C_40,"P61024,P06493"
C_41,"P13995,Q96CN9"
C_42,"Q9BZK3,Q96K17"
C_43,"Q8NFH4,Q9Y4L1"
C_44,"O76094,Q9UHB9"
C_45,"O75794,Q8IZP0"
C_46,"Q9Y5P6,Q96IJ6"
C_47,"Q9BYT8,O14772"
C_48,"Q13505,Q9NZ45"
C_49,"Q9Y3C1,Q9H4G0"
C_50,"Q6L8Q7,Q9UBZ4"
C_51,"P55327,Q9NR31"
C_52,"P52848,Q17RY0"
C_53,"Q15369,Q15370"
C_54,"Q6ZNB6,Q14677"
C_55,"Q92547,Q03169"
C_56,"O00743,Q5H9R7"
C_57,"Q96IG2,Q13616"
C_58,"P0C1Z6,P28370"
C_59,"P99999,P36404"
C_60,"Q7Z4G1,Q9H0A8"
C_61,"Q9Y4P1,P31946"
C_62,"P29084,P29083"
C_63,"Q92889,P07992"
C_64,"Q9UJW0,Q9NZ32"
C_65,"Q8IZ69,Q14147"
C_66,"P30711,P78417"
C_67,"Q9NVS9,Q93052"
C_68,"P32455,Q00535"
C_69,"P68871,Q8TB36"
C_70,"P11498,Q13765"
C_71,"O95067,Q13535"
C_72,"Q12882,Q8WUX2"
C_73,"Q2NKX8,Q13085"
C_74,"Q06546,Q06547"
C_75,"P52907,P47756"
C_76,"Q68D10,Q96KG9"
C_77,"P47712,P12277"
C_78,"Q68CZ2,Q9NZL9"
C_79,"Q9UPS6,Q9P0U4"
C_80,"Q99755,P48729"
C_81,"Q15024,Q5RKV6"
C_82,"Q86TN4,P57772"
C_83,"Q15022,Q15910"
C_84,"Q9BTA9,Q9H974"
C_85,"P47813,Q13045"
C_86,"P49815,Q9NQ88"
C_87,"O94973,O95782"
C_88,"Q99962,Q9UI26"
C_89,"Q6ZW49,P78316"
