ComplexID,Subunits_UniProt_IDs
Complex_0,"O60244,O75448,O75586,Q15528,Q15648,Q6P2C8,Q93074,Q96HR3,Q9H944,Q9NPJ6,Q9NVC6,Q9P086,Q9ULK4,Q9Y2X0"
Complex_1,"Q15528,Q96HR3"
Complex_2,"Q15648,Q9NPJ6"
Complex_3,"P24928,Q8IXW5"
Complex_4,"O95292,Q8NBT2,Q9HBM1,Q9P0L0"
Complex_5,"Q8NBT2,Q9HBM1"
Complex_6,"A2RRP1,Q9NZ43,Q9P2W9"
Complex_7,"O43752,Q86Y82,Q99747"
Complex_8,"P61981,P63104"
Complex_9,"A2RU67,P54709,Q86Y82,Q9Y287"
Complex_10,"A5YKK6,Q9UIV1"
Complex_11,"O14530,P17987,P40227,P49368,P78371,Q99832"
Complex_12,"P17987,P49368,P78371,Q99832"
Complex_13,"P17987,Q99832"
Complex_14,"Q8TC12,Q9NP72,Q9NPF0,Q9NVH1,Q9UHQ9"
Complex_15,"Q9NP72,Q9NVH1,Q9UHQ9"
Complex_16,"P10586,Q8NFZ8,Q9NPF0"
Complex_17,"P10586,Q5JSH3,Q9H223"
Complex_18,"O94776,O95983,Q13330,Q13547,Q14839,Q16576,Q86YP4,Q8WXI9,Q9BTC8,Q9UBB5"
Complex_19,"O94776,Q13330,Q16576,Q86YP4,Q9UBB5"
Complex_20,"Q13547,Q14839,Q16576,Q8WXI9"
Complex_21,"O43291,Q9NV96,Q9Y5M8,Q9Y6I9"
Complex_22,"O43291,Q9NV96"
Complex_23,"P62699,Q6VN20,Q8IUR7,Q96S59,Q9H871,Q9NWU2"
Complex_24,"Q96CW1,Q9NVZ3"
Complex_25,"O60244,O75448,O75586,Q15528,Q15648,Q6P2C8,Q93074,Q96HR3,Q9H944,Q9NPJ6,Q9NVC6,Q9ULK4,Q9Y2X0"
Complex_26,"O00303,O15372,Q13347,Q7L2H7"
Complex_27,"O00303,Q7L2H7"
Complex_28,"O75436,Q4G0F5"
Complex_29,"P07900,P08238,Q16543,Q96NB2"
Complex_30,"P07900,P08238,Q13451,Q16543"
Complex_31,"Q13451,Q16543"
Complex_32,"P62258,P63104,Q5SRE5"
Complex_33,"P62258,P63104"
Complex_34,"P17980,P62195,P62333,Q15008"
Complex_35,"Q13418,Q15404"
Complex_36,"O43707,P12814"
Complex_37,"O00161,O15400,O43752,Q86Y82"
Complex_38,"O00165,O15126,P13591,P20339,P20340,P43304,P61019,P61106,Q9NRW1"
Complex_39,"P20339,P20340,P43304,P61019,P61106,P61764,Q9NRW1"
Complex_40,"O00165,P13591"
Complex_41,"O00429,Q9H115"
Complex_42,"O00592,O15118,O15439,P04920,P05556,P08648,P11117,P17301,P18433,P23229,P23470,P26006,P43121,P50443,P51798,P55011,P56199,Q08722,Q12913,Q13740,Q14108,Q14118,Q15262,Q16363,Q4KMQ2,Q7Z3C6,Q8IWT6,Q8IZA0,Q8TCT8,Q93050,Q9BXP2,Q9P2B2,Q9UIQ6,Q9UP95,Q9Y487,Q9Y6M5,Q9Y6M7"
Complex_43,"P23470,Q08722,Q14108,Q9BXP2,Q9P2B2,Q9UNN8"
Complex_44,"P11117,Q08722,Q8TCT8,Q9BXP2,Q9UIQ6"
Complex_45,"P23470,Q8IWT6,Q93050"
Complex_46,"P08648,Q86VP1,Q8TCT8"
Complex_47,"O00592,P23470,Q9Y6M7"
Complex_48,"O15118,P18433"
Complex_49,"Q5KU26,Q8TDW0"
Complex_50,"Q4KMQ2,Q9Y6X5"
Complex_51,"O00217,O75489,P51970,Q9BQ95"
Complex_52,"O00231,P17980,P28070,Q99436"
Complex_53,"P28070,Q99436"
Complex_54,"P17980,P28070,Q99436"
Complex_55,"O00232,P51665"
Complex_56,"P17980,P62333"
Complex_57,"O00273,O76075"
Complex_58,"O00303,O15371,O15372,O75821,P55884,P60228,Q13347,Q14152,Q7L2H7,Q99613,Q9BSF4,Q9UBQ5,Q9Y262"
Complex_59,"O14949,O43808,O75821,Q13509,Q14152,Q9BSF4"
Complex_60,"O75821,Q13347"
Complex_61,"O14949,Q13509"
Complex_62,"O00399,P42025,P47755,Q13561"
Complex_63,"O43324,P07814,P14868,P41252,P47897,P54136,P56192,Q12904,Q13155,Q9P2J5"
