ComplexID,Subunits_UniProt_IDs
Complex_0,"O60244,O75376,O75448,O75586,Q15528,Q15648,Q6P2C8,Q71SY5,Q93074,Q96HR3,Q96PU8,Q9H944,Q9NPJ6,Q9NVC6,Q9P086,Q9UBB9,Q9ULK4,Q9UPN7,Q9Y2X0,O00767,O14802,P06213,P40763,P30876,O60313,Q9UKY7,Q9NRL3,Q9Y6D6,Q05519,O60563"
Complex_1,"O00231,O14980,O43242,P05423,P07900,P08238,P10809,P11142,P14625,P17980,P17987,P30101,P31689,P34932,P35998,P43686,P49368,P54920,P55072,P61289,P62191,P62195,Q04637,Q06323,Q08752,Q14103,Q14677,Q8N163,Q92530,Q92598,Q99460,Q9H078,Q9H0U6,Q9NZL4,Q9UNE7,Q9UNM6,Q9Y2Z0,O00161,O00186,O14662,O15400,O43752,O60645,O95721,P11233,P20338,P20339,P35221,P35222,P46459,P51153,P51809,P61006,P61026,P61106,P61764,Q12846,Q13190,Q15836,Q86Y82,Q8TAG9,Q96A65,Q96AJ9,Q96KP1,Q9BV40,Q9NV70,Q9NZ43,Q9UIQ6,Q9UNK0,Q9UPT5,A2RU67,O15126,O15127,O43149,O60831,P02786,Q08379,Q16625,Q29RF7,Q5SRE5,Q658P3,Q68D91,Q6NUQ4,Q8NC56,Q8TC07,Q8WVC6,Q8WY22,Q969V3,Q9BRR6,Q9H7Z7,Q9HD20,Q9UHG3,Q9Y2H6,Q9Y3E5,Q15833,O14653,O60499,P55735,P78316,Q13277,Q99747,Q9BVI4,Q9P2W9,O15155,O43681,P62820,Q8WVM8,O43615,O75431,O94826,O96008,P12236,P21796,P38646,P62072,Q15388,Q3ZCQ8,Q8N4H5,Q8N4Q1,Q96B49,Q96DA6,Q9BVV7,Q9H9B4,Q9NS69,Q9Y3D7,Q9Y512,Q9Y584,Q9Y5J7,Q7Z434,O60830,O43819,P23284,Q13724,Q96EL3,P11117,Q9NR50,Q9Y6E2,P78537,Q10567,Q9NUP1,O75915,O95864,P54709,P98172,Q4ZIN3,Q86SF2,Q8IYS2,Q8N766,Q8WTV0,Q92544,Q99805,Q9C0E8,Q9NPA0,Q9NQC3,Q9NX62,O60925,P40227,P43307,P50990,P50991,Q13188,Q99832,Q9BUF5,Q9NRL3,Q9UHV9,O94979,P04844,P11021,P27797,P27824,P28074,P61619,P61769,Q9H1E5,O60884,P07237,P21912,Q12931,Q13438,Q86TM6,Q96KC8,Q9UBS4,Q9H269,O43617,P06493,P51149,Q15907,Q8TBA6,Q969M3,Q9UI14,Q9Y2L5,Q9Y5R8,P30153,P30154,P63151,P78371,Q6P9B9,Q6UXN9,Q8N201,Q9P2B4,P04439,P23229,P42356,Q15738,Q8N5K1,Q92520,Q9BRX8,Q9H813,Q9NUQ7,Q9NV96,O43396,Q99471,O60637,O94766,O75155,O95373,Q9UFG5,Q14139,Q92575,Q92905,Q96CS3,Q9BQE4,Q9BUN8,Q9UKV5,Q9Y263,Q9UEU0,Q9H2M9,Q8IWJ2,O75396,Q12981,Q9Y5M8,Q9Y5L0,O14802,Q13033,Q8IX90,P04843,P39656,P46977,P61803,Q14165,Q8TCJ2,P04350,P27708,Q9Y5J6,P06756,Q06136,Q96G23,P48643,P31946,P61981,P62258,P63104,Q04917,Q16543,P00387,Q3SXM5,Q9BTV4,Q9Y3E0,O43759,P18031,P30519,P62879,Q6UW68,Q9BU23,P08754,P42345,P63096,O14763,Q7Z5G4,Q9BTU6,Q9HBH5,Q9NPF0,Q9NRZ7,O43765,P11441,P46379,Q7L5D6,P60604,Q96DZ1,Q86X29,Q9Y5Y0,P33908,Q7Z392,Q8IUR0,Q8WVT3,Q9UL33,Q9Y296,P11172,P12268,Q02127,Q9Y230,Q9Y265,O43291,Q15392,Q5T160,Q86VR2,Q9H4I3,Q8NBM4,Q9UBV2,Q7Z3C6,O43156,Q9H6T3,Q9NWS0,P54652,Q9H0U3,P60468,O14786,P40763,Q9UIW2,P19022,P26232,P42224,Q92769,Q9NP58,Q9UFC0,P16989,P62805,Q96EY7,Q13308,Q04721,Q92542,P43304,Q6UWP7,Q8NF37,Q14126,Q96NB2,Q15386,Q99653,P61020,Q9NRW7,P08581,P34931,P50402,Q86XL3,Q9Y6I9,O14828,P16615,O43301,Q15165,Q6ZXV5,P04899,Q13895,Q96HE7,P35613,Q13636,P51648,Q8NBU5,Q14318,Q9BPW8,Q9NTJ5,Q9NPL8,P04406,P61019,Q7L1Q6,Q9NRG9,Q8IWA4,P62873,P51151,Q9BTW9,O75323,Q9UL25,P20340,Q9Y4R8,Q6NUK1,Q9BUB7"
Complex_2,"O00231,O00233,O00487,O43242,P04843,P04844,P06493,P11142,P11940,P17980,P25789,P29144,P30260,P35998,P43686,P55786,P60468,P61619,P62191,P62195,P62877,Q04637,Q13042,Q13257,Q13618,Q16186,Q8NHZ8,Q92905,Q99460,Q9BRP4,Q9H1A4,Q9UIQ6,Q9UJX2,Q9UJX3,Q9UJX6,Q9UNM6,P46459,Q06323,Q92997,P24941,P27824,P28070,P62979,Q9UMS4,P61289,Q92530,Q9UNE7,O00232"
Complex_3,"P06400,P61978,P62877,Q09028,Q13042,Q13363,Q16576,Q8NHZ8,Q92769,Q9UJX2,Q9UJX3,Q9UJX6,Q9UQR0"
Complex_4,"O00410,O95373,P37198,P43487,P49790,P62826,Q14974,Q8TEX9,Q7Z3B4,Q92973"
Complex_5,"O00767,P00167,P49327"
Complex_6,"O15121,O95674,Q06136,Q6UWP7,Q8IV08,Q96G23"
Complex_7,"O14579,O14653,P35606,P53618,P53621,P61923,Q10567,Q92538,Q9NX40,Q9Y678,Q9Y6D6,P39656,P48444,P24390,P40616,Q8N6T3,P49755"
Complex_8,"O14975,O43808,P28288"
Complex_9,"O43172,O43395,P62310,P62312,Q15020,Q6P2Q9,Q8IZH2,Q9BZJ0,Q9Y333,Q9Y4Z0,O94906,P62314"
Complex_10,"P08183,Q96G23"
Complex_11,"P62826,Q92973,Q9Y5L0,O14980,P35222,Q9UIA9,O43592,O14787"
Complex_12,"O14521,P09622,P21912,P31040,P36957,Q02218,Q99643,P82909"
Complex_13,"O00264,O60664,P51151,P11717"
Complex_14,"P05141,P12235,P12236,P21796,P45880,Q96EL3,Q9Y277,Q9Y5M8,O43819,Q96T76,Q9Y3D0,O75027"
Complex_15,"O60506,P67809,Q00839,Q08211,Q9NZI8"
Complex_16,"O15320,P07099,P08240,P16435,P20340,P37268,P51153,P61006,P84085,Q12981,Q13190,Q16850,Q4ZIN3,Q5JRA6,Q5VT66,Q8TC12,Q8WVC6,Q92572,Q96HY6,Q96JB5,Q99614,Q9NP72,Q9NPF0,Q9NVJ2,Q9NWS8,Q9P2W9,Q9UNK0,Q9Y263,Q9Y2U8,Q9Y320,Q9Y394,Q9Y5M8,O94874,Q86VR2"
Complex_17,"O43615,O43819,P06756,P11441"
Complex_18,"P05023,P05026,P30519,P54709"
Complex_19,"P16070,P35222,P35613"
Complex_20,"P33527,Q9NPF0"
Complex_21,"O15400,O43615,O43819,P50542,P61006"
Complex_22,"P22413,P29317,P35222"
Complex_23,"O15400,O60476,P33908,Q7Z5G4,Q16706"
Complex_24,"P06730,P40763,P42704,Q9GZT3"
Complex_25,"O95864,P29992,Q8IV08,Q8NF37"
Complex_26,"P49069,Q6RW13,Q9BVT8"
Complex_27,"P27824,Q07021,Q13445,Q15363,Q7Z7H5,Q92520,Q99442,Q9BVK6,P49755,Q9NPA0,Q9Y3A6,Q9Y3B3,Q9BZF1,Q9C0E8,Q9NV96,Q9Y3Q3,P24390,P35606,P67812"
Complex_28,"P08754,P63104,P98172"
Complex_29,"P43307,P51571,P60468"
Complex_30,"P05556,P60033,Q8WTV0,Q969P0,Q9P2B2"
Complex_31,"P60604,P62877,P63165,Q9UKV5"
Complex_32,"O43237,P63172,Q13409,Q14204,Q9NP97,Q9Y6G9,P43034,P51808"
Complex_33,"P06493,P23258,P62826,Q14974,Q8NHV4,Q96CW5,Q96RT7,Q9BSJ2,Q9UGJ1,Q08AG7"
Complex_34,"Q6IAA8,Q9UHA4,Q9Y2Q5"
Complex_35,"O43390,P19338,Q00839,Q08211,Q12906,Q92841,Q12905"
Complex_36,"P46939,Q13884"
Complex_37,"O00767,O95674,P06493,Q53EU6,Q6UWP7,Q86UL3,Q8IV08,Q8NF37,Q9NRZ7"
Complex_38,"O43819,O75880,Q7KZN9,Q15526"
