ComplexID,Subunits_UniProt_IDs
Complex_0,"O60244,O75376,O75448,O75586,Q15528,Q15648,Q6P2C8,Q93074,Q96HR3,Q9H944,Q9NPJ6,Q9NVC6,Q9P086,Q9ULK4,Q9Y2X0"
Complex_1,"Q15528,Q96HR3"
Complex_2,"Q15648,Q9NPJ6"
Complex_3,"P07900,P08238"
Complex_4,"P61201,Q7L5N1,Q92905,Q99627,Q9BT78,Q9H9Q2,Q9UBW8,Q9UNS2"
Complex_5,"Q9BT78,Q9UNS2"
Complex_6,"O00231,O00487,O14818,O43242,P17980,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P35998,P43686,P55036,P60900,P62191,P62195,Q15008,Q99436,Q9UNM6"
Complex_7,"O00231,O43242,P06493,P11142,P17980,P25789,P43686,P55786,P60468,P61619,P62191,P62195,P62877,Q04637,Q13042,Q13257,Q99460,Q9UJX2,Q9UJX3,Q9UJX6,Q9UNM6"
Complex_8,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P29144,P49721,P60900,Q99436"
Complex_9,"P11940,P29144,P30260,Q13618,Q8NHZ8,Q9H1A4,Q9UJX3,Q9UJX6"
Complex_10,"P30260,Q13042,Q13257,Q8NHZ8,Q9UJX2,Q9UJX3,Q9UJX4"
Complex_11,"P30260,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_12,"O00232,P25787,P49721,Q13200,Q99460"
Complex_13,"P43686,P61619,P62195"
Complex_14,"P11142,P55786,P61289"
Complex_15,"O00232,Q99460"
Complex_16,"P49721,Q99436"
Complex_17,"P61289,Q92530"
Complex_18,"P61289,Q9UL46"
Complex_19,"O00231,Q92530"
Complex_20,"A5YKK6,O75175,P06730,Q92600,Q9C0C2,Q9H9A5,Q9NZN8,Q9UIV1"
Complex_21,"P06730,P11940,Q92600,Q9NZN8"
Complex_22,"P60842,Q04637,Q14240"
Complex_23,"P06730,Q04637"
Complex_24,"O00303,O15371,O15372,O75821,P55884,P60228,Q13347,Q14152,Q7L2H7"
Complex_25,"O60841,O75821,O75822,P55884,Q13347"
Complex_26,"P05198,P20042"
Complex_27,"O75821,Q13347"
Complex_28,"O00303,Q7L2H7"
Complex_29,"P20290,Q96K17"
Complex_30,"O14561,O43674,O75489,O95168,O96000,P09669,P51970,P56556,Q96IX5,Q9UI09,Q9Y6M9"
Complex_31,"O00116,P28288,Q8WVX9"
Complex_32,"P28288,Q8WVX9"
Complex_33,"O43707,P12814"
Complex_34,"O00161,O00186,O15127,O15400,O43752,O60645,P11233,P46459,P51153,P51809,P61006,P61026,P61106,Q12846,Q15833,Q15836,Q86Y82,Q8TAG9,Q96A65,Q96KP1,Q9BV40,Q9NV70,Q9UPT5"
Complex_35,"O15127,O60645,P11233,P51809,P61006,P61106,Q12846,Q15836,Q9UPT5"
Complex_36,"O60645,Q8TAG9,Q96A65,Q9NV70,Q9NZ43,Q9UPT5"
Complex_37,"O43752,P12429"
Complex_38,"O43747,O75843,P56377,P61966,Q10567"
Complex_39,"O00203,O14617,Q92572"
Complex_40,"O00217,O14561,O43181,O43674,O43676,O43678,O43920,O75251,O75306,O75380,O75438,O75489,O95168,O95169,O95182,O95298,O95299,O96000,P03915,P17568,P19404,P28331,P47985,P49821,P51970,P56556,Q16718,Q9P0J0,Q9UI09,Q9Y6M9"
Complex_41,"O00483,O14949,O75251,O95169,P07919,P08574,P14927,P22695,P31930,P47985,Q7KZN9,Q86Y39,Q9NX14,Q9UDW1,Q9Y375"
Complex_42,"O43676,O95298,Q86Y39"
Complex_43,"O00483,O75438,P49821"
Complex_44,"O96000,P08574"
Complex_45,"P03905,P03915"
Complex_46,"O43674,Q7KZN9"
Complex_47,"O00231,O00233,O00487,O43242,P04843,P04844,P06493,P11142,P11940,P17980,P25789,P35998,P43686,P46459,P55786,P60468,P61619,P62191,P62195,P62877,Q04637,Q06323,Q13042,Q13257,Q13618,Q16186,Q92997,Q99460,Q9BRP4,Q9H1A4,Q9UIQ6,Q9UJX2,Q9UJX3,Q9UJX6,Q9UNM6"
Complex_48,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49721,P60900,P63208,Q99436"
Complex_49,"P30260,Q16186,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_50,"P11142,P55786,P61289,Q9BRP4"
Complex_51,"P29144,Q9Y4E8"
Complex_52,"O00231,O00233,O00487,O43242,P04843,P04844,P06493,P11142,P11940,P17980,P25789,P29144,P30260,P35998,P43686,P55786,P60468,P61619,P62191,P62195,P62877,Q04637,Q13042,Q13257,Q13618,Q16186,Q8NHZ8,Q92905,Q99460,Q9BRP4,Q9H1A4,Q9UIQ6,Q9UJX2,Q9UJX3,Q9UJX6,Q9UNM6"
Complex_53,"O14818,P20618,P25786,P25787,P25788,P25789,P28066,P28070,P28072,P28074,P49721,P60900,P63208,Q92905,Q99436"
Complex_54,"P11940,Q9H1A4"
Complex_55,"P60228,Q9UJX5"
Complex_56,"P60228,Q14997"
Complex_57,"O00231,O00232,O00233,O00487,O43242,P06493,P11142,P17980,P25789,P43686,P55786,P60468,P61619,P62191,P62195,P62877,Q04637,Q06323,Q13042,Q13257,Q92997,Q99460,Q9BRP4,Q9UIQ6,Q9UJX2,Q9UJX3,Q9UJX6,Q9UNM6"
Complex_58,"O14818,P20618,P25786,P25788,P25789,P28066,P28070,P28072,P28074,P49721,P60900,P63208,Q99436"
Complex_59,"O00232,P48556,P49721,Q13200,Q99460"
Complex_60,"P06400,P61978,P62877,Q09028,Q13042,Q13363,Q16576,Q8NHZ8,Q92769,Q9UJX2,Q9UJX3,Q9UJX6,Q9UQR0"
Complex_61,"P30260,Q13042,Q15022,Q8NHZ8,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX6"
Complex_62,"P46736,Q8NHZ8,Q9H1A4,Q9NXR7,Q9UJX4,Q9UJX5,Q9UJX6"
Complex_63,"Q09028,Q16576,Q92769"
Complex_64,"P30260,Q09028,Q16576"
Complex_65,"O00264,Q15005"
Complex_66,"O00264,O60664"
Complex_67,"O00273,O76075,P42574"
Complex_68,"P09496,P09497"
Complex_69,"P05198,P05386,P05387,P05388,P15880,P18077,P18124,P18621,P26373,P30050,P32969,P35268,P36578,P39023,P40429,P42766,P46776,P46777,P46778,P47914,P49207,P50914,P61313,P61353,P61513,P62241,P62244,P62266,P62277,P62280,P62701,P62750,P62753,P62829,P62861,P62888,P62899,P62906,P62910,P62913,P62917,P83731,P84098,Q02543,Q02878,Q07020,Q9Y3U8"
Complex_70,"P05198,P15880,P18621,P25398,P35268,P41091,P42766,P46776,P47914,P61247,P62241,P62244,P62263,P62266,P62277,P62280,P62701,P62750,P62753,P62829,P62899,P62979,P83731,P84098,Q02878"
Complex_71,"O15371,O15372,P08865,P19784,P23396,P25398,P39019,P46776,P46782,P46783,P60866,P61247,P62241,P62244,P62249,P62263,P62266,P62273,P62701,P62829,P62857,P62979,P63220,P83731,P84098"
Complex_72,"O00303,O15371,O15372,O75821,P06730,P55884,P60228,P63220,P78344,Q04637,Q13347,Q14152,Q14240,Q7L2H7,Q99613,Q9UBQ5"
Complex_73,"O00303,O15371,O15372,O75821,P55884,P60228,Q13347,Q14152,Q7L2H7,Q99613,Q9UBQ5"
Complex_74,"O60841,O75821,O75822,P23588,P55884,P78344,Q13347"
Complex_75,"P05198,P06730,P20042,P41091,P61313,Q9Y3U8"
Complex_76,"P05386,P05387,P05388,P55010,Q9UBQ5"
Complex_77,"P18077,P50914,Q07020,Q9Y3U8"
Complex_78,"O75821,P62241,Q13347"
Complex_79,"P62701,P62913,Q02878"
Complex_80,"P62081,P62847"
Complex_81,"P11940,P42677"
Complex_82,"P61247,P62701"
Complex_83,"P42677,P60866"
Complex_84,"P35268,P62888"
Complex_85,"O00399,O75935,P42025,P61163,Q13561,Q14203,Q9BTE1,Q9UJW0"
Complex_86,"O43237,P30622,P43034,Q13409,Q14204"
Complex_87,"O00410,O95373,P37198,P43487,P49790,P62826,Q14974,Q8TEX9"
Complex_88,"O00410,Q14974"
Complex_89,"P43487,P62826"
Complex_90,"O00483,O14949,O75251,O75964,O95169,O95298,P00403,P07919,P08574,P14927,P22695,P31930,P47985,Q86Y39,Q9NX14,Q9UDW1,Q9Y375"
Complex_91,"O75964,Q9NX14"
Complex_92,"O43674,P00403"
Complex_93,"Q13823,Q9BYG3,Q9BZE4"
Complex_94,"Q9NVU7,Q9UKD2"
