ComplexID,Subunits_UniProt_IDs
HuMAP2_00000,"Q9BQS8,O95900"
HuMAP2_00001,"P08133,Q15797,Q99426,Q9H4M9,P68402,Q15102"
HuMAP2_00002,"Q93062,Q9NZC3,Q9UF11,Q15038,Q6ZRY4,A1KXE4,O43251,Q96S66,Q15434,Q9Y6M7"
HuMAP2_00003,"Q15836,Q16563,Q29983,Q8WUM9,O14974,Q9Y5Y0,Q14919,Q9BWX1"
HuMAP2_00004,"Q8WV99,Q9NQT8,Q9H672,P20774,Q49A92"
HuMAP2_00005,"Q9UHN6,P02741,Q7LGC8"
HuMAP2_00006,"P07199,Q96C28,O43296,,Q5CZA5"
HuMAP2_00007,"Q96Q42,Q8NFX7"
HuMAP2_00008,"O75683,Q96NE9,Q6RFH5,Q9BRU9,Q9Y2G2,Q9BXY0,P56182"
HuMAP2_00009,"P09455,Q14353,O75828,P31483,Q01085,Q86Y13,Q9BZL1"
HuMAP2_00010,"Q9NYB9,Q8WUW1,Q7L576"
HuMAP2_00011,",O00339,Q99435,Q9BXX0,Q92832,Q3ZCT1"
HuMAP2_00012,"Q99999,Q00888,Q9UQ72"
HuMAP2_00013,"Q9NV70,Q9HCH0"
HuMAP2_00014,"Q16527,P08243"
HuMAP2_00015,"Q96MN5,Q712K3"
HuMAP2_00016,"P23229,A1L157"
HuMAP2_00017,"Q96SL4,O14561,Q9NWU1,Q5U5X0,Q9HD34,O14976,Q9NU23,A6NFY7"
HuMAP2_00018,"P15289,P34059"
HuMAP2_00019,"P21359,P40259,Q9Y263"
HuMAP2_00020,"Q6IC98,Q8TC07,Q9HA65,Q14807"
HuMAP2_00021,"Q6ICG6,P31947"
HuMAP2_00023,"O00170,P16949"
HuMAP2_00024,"Q9NZZ3,Q9BY43,Q9H444,Q92620,Q9H169"
HuMAP2_00025,"Q96P63,P0C7M8"
HuMAP2_00026,"Q9UQ74,Q00888,Q9NYQ7,Q9NXL9,Q96PX1"
HuMAP2_00027,"P04040,Q9UJ68,P14416"
HuMAP2_00028,"Q9UM19,Q86WH2,Q99732"
HuMAP2_00029,"O95467,Q9UNF1,P38405,Q9NX40"
HuMAP2_00030,"Q10713,Q8WV74,Q14527"
HuMAP2_00031,"Q16851,Q9UN36,Q86YR5,Q86UD0"
HuMAP2_00032,"Q96J01,Q8NI27,Q6I9Y2,Q13769,O75152,Q96FV9,Q9BY77,Q86W42"
HuMAP2_00033,"Q86XE0,Q13596"
HuMAP2_00034,"Q00341,Q9P2E3,O75534"
HuMAP2_00035,"Q5PRF9,O15063,Q8N5S9,Q9P2F8"
HuMAP2_00036,"Q9UIU6,Q86VP3,Q96FV0"
HuMAP2_00037,"P22694,P10644"
HuMAP2_00038,"O75420,O60573,Q9NRA8,Q6Y7W6"
HuMAP2_00039,"Q5VX52,Q6P3W7"
HuMAP2_00040,"Q9P1Y5,P19878"
HuMAP2_00041,"O95625,Q8N5P1,Q9NPE3,O43818,Q13243,Q13601,Q8N567,Q4G0J3,P49711,Q5SSJ5,Q9NY12,Q6ZN17,Q9H7E9,Q99575,O60832,Q8TBF4"
HuMAP2_00042,"P05198,Q9NVM4,O75794,P41091,P20042"
HuMAP2_00043,"O95718,Q99442,P06028,Q96T55,Q9H2T7,Q8IYR2,P11474,Q9ULG6"
HuMAP2_00044,"Q9Y5J6,P18509,Q9H4B6"
HuMAP2_00045,"Q9UQ88,O43719,Q13428,P21127,Q9UHR5"
HuMAP2_00047,"Q9H469,Q13616"
HuMAP2_00048,"Q8TDX5,Q8NHG8,Q86VZ2,A6XGL0,O43323,Q8IWW8,P49247,Q8NDH3"
HuMAP2_00049,"Q9NYL2,Q6NX49,Q86WZ6"
HuMAP2_00050,"Q9NQ87,P53609,Q9UPN3,Q6DCA0"
HuMAP2_00051,"Q07617,P43355,O15480,Q8IWZ3,Q8N7X4"
