ComplexID,Subunits_UniProt_IDs
Complex_1,"Q16181,D6RER5,A8MXB7"
Complex_2,"Q13685,Q8IV38,P49458,P49366,Q96P16"
Complex_3,"B3KSP9,P61160,P61158,O15143,O15144,P59998,B3KPG9,Q7Z2Z2,Q96EK5,Q9GZT8,Q08J23,Q9NPF4,Q9NVE7,P46060,Q6FGM0,Q9Y371,Q96S44,Q5JWU6,Q9Y3C4,P61960"
Complex_4,"Q9NRN7,Q9UKN8"
Complex_5,"Q8NE71,Q9Y224,Q9Y3I0,Q8WX92,P16989,Q92499,Q08211,Q9UNQ2,Q6P2E9,P49770,Q9NR50,Q00688,P22626,P52272,Q00839,O00425,Q12905,B3KTC7,P30419,Q9BUQ0,P35249,P67809,Q13045,P05783,Q32MZ4,P35250,Q9UNX3,P61353"
Complex_6,"B4DNW0,Q9Y6E2,A8K7V4,P56537,Q9BRX5,P53041,O00273,P38646,O15067,P30084"
Complex_7,"Q9NYB9,Q8NEU8,Q99615,Q16543,P13804,Q9UNE7"
Complex_8,"P42765,P11940,O00233"
Complex_9,"B7Z233,B1AK88"
Complex_10,"Q9H3P7,Q15029,P29083,P12081,Q8IZ73,Q5T5C7,Q96H20,B7ZC38"
Complex_11,"P53396,P08238,P33991"
Complex_12,"P21399,P23527"
Complex_13,"P68133,Q562R1,P63261,Q8WUW1,Q8N726,Q9Y2A7"
Complex_14,"A1L0V1,Q12874,P09132,P55072"
Complex_15,"O43707,Q8IWY9,O75886"
Complex_16,"Q9NZ32,P61163,P42025,Q13561,O75935,Q9UJW0,P20700,Q15276,Q96EE3"
Complex_17,"Q16186,Q5VYK3,Q9P0J7,P62191,P35998,P17980,P43686,P62195,P62333,Q99460,O00231,O00232,F8W8J6,O00487,Q13200,O43242,P55036,Q15008,P51665,P48556,O43396,Q5LJA9"
Complex_18,"B0QY75,Q6L8Q7"
Complex_19,"P30520,Q13185,Q9BY43,Q9NRG0,P27707,P61604,O75874,P55809,O15256,Q16576,P37837,P52888,B4DE31,O75083,Q9HB07,P15531"
Complex_20,"Q08117,Q9BTY7,O14964,Q9H2G2,Q5TA95"
Complex_21,"B3KUL1,P13716,Q9BXV9,Q9HCN4,Q9NZL4,Q32P28,Q93052,O15294,Q9Y570,Q9NQG5,Q15527,O75674,O75312,Q9UJU6,Q96HE7,Q6UWE0,P57081"
Complex_22,"P35573,B7Z5L0,P35269,P23497"
Complex_23,"P23526,P07954,P26038,A6NCK0,Q9UNZ2,O43252,Q6P1N9"
Complex_24,"O95433,P13639"
Complex_25,"0,P14868,O43324,P05198,P41252,P56192,0,P26373,P61313,P46778,A8MUS3,P61254,Q9Y3U8,P62424,P05388,Q07020,P84098"
Complex_26,"Q13155,P31689,P41091,Q04637,Q8N163,P46776,P09651,P46940,P54136"
Complex_27,"A3RDR9,Q99714"
Complex_28,"O43572,P60660,P24844"
Complex_29,"Q02952,Q9Y6G9,B1AKR6,P21333,Q14204,Q13409,O43237,Q8WUY3"
Complex_30,"B1ALY0,Q9NWV8,Q9NXR7,Q92734"
Complex_31,"Q96B36,O75113,A8KA46,Q9BV44"
Complex_32,"P04075,P36915"
Complex_33,"P30837,P15311,Q8N806"
Complex_34,"P49419,P08243,P31939,P17655,P04632,Q96CN7,Q9P289,Q12965,Q8N543,B4DZN3,P13667,O94903,P06454,Q99426,Q6IBS0,P62258,Q04917,Q9ULC4"
Complex_35,"P49189,Q96GG9,Q92820,Q9P258"
Complex_36,"P09972,Q9UKY7"
Complex_37,"Q5T694,Q9NY27"
Complex_38,"Q9P2R3,Q13464,Q9BRP4"
Complex_39,"O15084,Q9P2B4,O14920,Q99567"
Complex_40,"Q6AI12,Q96ST2"
Complex_41,"Q92625,Q9ULA0,Q05209,Q68CZ2,Q96LD4"
Complex_42,"P39687,Q96K17"
