ComplexID,ComplexName,Organism,Subunits_UniProt_IDs,GO description
1,BCL6-HDAC4 complex,Human,"P41182,P56524","DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation"
2,BCL6-HDAC5 complex,Human,"P41182,Q9UQL6","DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation"
3,BCL6-HDAC7 complex,Human,"P41182,Q8WUI4","DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation"
4,Multisubunit ACTR coactivator complex,Human,"Q09472,Q92793,Q92831,Q9Y6Q9","positive regulation of transcription, DNA-templated;signaling;nucleus"
9,6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex,Mouse,"P30561,P53762","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling;detection of chemical stimulus;response to chemical;nucleus"
11,BLOC-3 (biogenesis of lysosome-related organelles complex 3),Human,"Q92902,Q9NQG7",endosome organization;lysosome organization;vacuole organization
12,BLOC-2 (biogenesis of lysosome-related organelles complex 2),Human,"Q86YV9,Q969F9,Q9UPZ3",endosome organization;lysosome organization;vacuole organization
13,MUS81-CDS1 complex,Human,"Q92903,Q96NY9",DNA repair;DNA recombination
15,NCOR complex,Human,"O15379,O60907,O75376,Q13227,Q92828,Q9BZK7","DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"
23,BLOC-1 (biogenesis of lysosome-related organelles complex 1),Human,"O95295,P78537,Q6QNY0,Q6QNY1,Q8TDH9,Q96EV8,Q9NUP1,Q9UL45",
25,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex,Mouse,"O08915,P07901,P11499,P30561",response to stress;detection of chemical stimulus;response to chemical;cytoplasm
26,Bestrophin-protein phosphatase 2A complex,Pig,"P54612,P67776,Q8WMR7",chloride transport;ion channel activity;signaling;detection of light stimulus;response to light stimulus;visual perception
27,Arp2/3 protein complex,Human,"O15143,O15144,O15145,O15511,P59998,P61158,P61160",
28,Modulator,Bovine,"Q2KIW6,Q3SZ19,Q3SZ81",proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;ATP binding;regulation of binding;protein binding;peptidase activator activity
29,PA28gamma complex,Human,P61289,proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity
30,PA28 complex,Human,"Q06323,Q9UL46",proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm
32,PA700 complex,Human,"O00231,O00232,O00233,O00487,O43242,O75832,P17980,P35998,P43686,P48556,P51665,P55036,P62191,P62195,P62333,Q13200,Q15008,Q16401,Q99460,Q9UNM6",proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity
34,Aqp4-Dag1-Dmd-Snta1 complex,Rat,"P11530,P47863,Q498T0,Q91XP6",channel activity;plasma membrane
36,AP1 adaptor complex,Human,"O43747,O75843,P56377,P61966,Q10567,Q96PC3,Q9BXS5,Q9Y6Q5",intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle
39,Immunoproteasome,Mouse,"O09061,O35955,O70435,P28063,P28076,P49722,P99026,Q9QUM9,Q9R1P0,Q9R1P1,Q9R1P3,Q9R1P4,Q9Z2U0,Q9Z2U1",protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus
41,Mi-2/NuRD-MTA3 complex,Human,"O94776,O95983,P41182,Q13547,Q9BTC8","DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus"
42,Cask-Mint-Veli tripartite complex,Rat,"O35430,Q62915,Q9Z250",protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction
46,AP2 adaptor complex,Mammalia,"P17427,P62743,P63010,P84092",intracellular protein transport;protein targeting;protein transport;protein complex assembly;vesicle-mediated transport;endocytosis;transport vesicle
47,DNA polymerase alpha-primase complex,Mouse,"P20664,P33609,P33610,P33611",DNA replication;nucleus
48,RGS7-Gbeta5-Galphaq complex,Mammalia,"O46470,P21279,P62881",G-protein coupled receptor signaling pathway
49,DNMT3B complex,Human,"O60264,O95239,O95347,Q13547,Q96ST3,Q9NTJ3,Q9UBC3",DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome
50,RAB5-RABAPTIN5–RABEX5 complex,Human,"P20339,Q15276,Q9UJ41",endocytosis
52,CCT complex (chaperonin containing TCP1 complex),Mouse,"P11983,P42932,P80313,P80314,P80315,P80316,P80317,P80318",protein stabilization;protein folding;ATP binding;cytoplasm
53,Gbeta5-rgs7 complex,Rat,"P49803,P62882",G-protein coupled receptor signaling pathway
54,SIN3 complex,Human,"O00422,O75446,Q09028,Q13547,Q16576,Q92769,Q96ST3","DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"
55,HDAC4-ERK1 complex,Human,"P27361,P56524","DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus"
56,Elongin (SIII) complex,Rat,"P62870,P83941,Q63187","DNA-templated transcription, elongation;positive regulation of transcription, DNA-templated;positive regulation of catalytic activity;nucleus"
57,HDAC4-ERK2 complex,Human,"P28482,P56524","DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus"
58,SMRT complex,Human,"O15379,O60907,Q13227,Q9BZK7,Q9Y618","DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"
59,AP3 adaptor complex,Human,"O00203,O14617,P53677,P59780,Q13367,Q92572,Q9Y2T2",intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome
60,Interferon-stimulated gene factor 3 transcription complex ISGF3,Human,"P42224,P52630,Q00978","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"
61,Mi2/NuRD complex,Human,"O94776,O95983,Q09028,Q13547,Q14839,Q16576,Q92769","DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;chromosome organization;nucleus"
62,MeCP1 complex,Human,"O94776,O95983,Q09028,Q13547,Q14839,Q16576,Q92769,Q9UBB5","DNA topological change;negative regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus;histone deacetylation"
65,Multiprotein trafficking complex,Rat,"O35430,P52188,Q62696,Q62915,Q792I0",cation transmembrane transporter activity;cation transport;channel activity;response to stimulus
66,TRAP complex,Human,"O60244,O75448,P10827,Q15648,Q93074,Q9NVC6,Q9Y2W1,Q9Y2X0","positive regulation of transcription, DNA-templated;receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus"
67,AP4 adaptor complex,Human,"O00189,Q9UPM8,Q9Y587,Q9Y6B7",intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus
69,ApoB mRNA editing enzyme complex,Rat,"P38483,Q923K9,Q99PF5",mRNA modification;RNA binding
70,CLIC4 complex,Rat,"P07335,P39052,P60711,P62260,P63102,P68370,Q9Z0W7",anion transmembrane transporter activity;anion transport;ion channel activity;ion homeostasis;cellular ion homeostasis;extrinsic component of membrane;cell wall
74,HOMER3-IP3R-TRPC1 complex,Human,"P48995,Q14573,Q9NSC5",cation transmembrane transporter activity;cation transport;ion channel activity;signaling;plasma membrane
76,Dynein complex,Rat,"P38650,P62628,P63036,P63170,Q62871,Q63100,Q9JJ79,Q9QXU8,Q9Z336",locomotion;movement of cell or subcellular component;multicellular organismal movement;protein binding;cytoskeleton-dependent intracellular transport;endocytosis;cytoplasm
77,nNos-Capon-Dexras1 complex,Mouse,"O35626,Q9D3A8,Q9Z0J4",nitric oxide mediated signal transduction;cytoplasm
79,nNos-Capon-Syn1 complex,Rat,"O54960,P09951,P29476",nitric oxide mediated signal transduction
80,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)",Human,"P62877,P63208,Q13309,Q13616",
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",Human,"P62877,P63208,Q14999,Q8N3Y1",protein ubiquitination;ubiquitin-dependent protein catabolic process
83,STMN4-Tubulin complex,Bovine,"E1BJK2,P81948,Q0VCK4",cell cycle;microtubule cytoskeleton organization
84,Nucleic acid channel complex,Rat,"O88989,P70581",nucleoside transmembrane transporter activity;nucleobase-containing compound transport;nucleotide transport;nucleotide transmembrane transporter activity;nucleoside transport;channel activity;plasma membrane
85,STMN1-Tubulin complex,Bovine,"E1BJK2,P81948,Q3T0C7",cell cycle;microtubule cytoskeleton organization
86,NUMAC complex (nucleosomal methylation activator complex),Human,"O14497,P51532,P60709,Q12824,Q86X55,Q8TAQ2,Q92922,Q969G3,Q96GM5,Q96KG9","DNA topological change;positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus"
87,Nup 107-160 subcomplex,Human,"P52948,P55735,P57740,Q12769,Q8NFH3,Q8NFH4,Q8WUM0,Q96EE3,Q9BW27","protein transport;protein transporter activity;transport;nuclear transport;chromosome, centromeric region"
88,"SNARE complex (Bet1, Gosr1, Gosr2, Scfd1, Stx5, Sec22b)",Rat,"O35165,Q08851,Q4KM74,Q62896,Q62931,Q62991",ER to Golgi vesicle-mediated transport;intra-Golgi vesicle-mediated transport;membrane budding;vesicle organization;vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis;endoplasmic reticulum;Golgi apparatus;Golgi membrane
91,"FA complex (Fanconi anemia complex), cytoplasmic",Human,"O15287,O15360,Q00597,Q9NPI8",protein ubiquitination;cellular response to DNA damage stimulus;cytoplasm
92,CD28-transactivation complex,Human,"P10747,P19338","DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"
93,Anaphase-promoting complex,Human,"P30260,Q13042,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6",mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus
95,Ku antigen-NARG1 complex,Human,"P12956,P13010,Q9BXJ9","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding"
96,Anaphase-promoting complex,Human,"P30260,Q13042,Q9H1A4,Q9UJX2,Q9UJX3,Q9UJX4,Q9UJX5,Q9UJX6,Q9UM13",mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus;ubiquitin-dependent protein catabolic process
97,Anaphase-promoting complex,Mouse,"P53995,Q3V036,Q8BGZ4,Q8BTZ4,Q8BZQ7,Q8K2H6,Q8R349,Q91W96,Q9WVM3",mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus;ubiquitin-dependent protein catabolic process
98,p300-MDM2-p53 protein complex,Human,"P04637,Q00987,Q09472","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme regulator activity;regulation of catalytic activity;nucleus"
100,hNURF complex,Human,"P28370,Q09028,Q12830,Q16576","DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;neurogenesis;generation of neurons;chromosome organization;neuron differentiation;nucleus"
101,Nucleolar remodeling complex (NoRC complex),Mouse,"Q91YE5,Q91ZW3",DNA topological change;rRNA transcription;chromosome organization;nucleus
102,Meiotic cohesin complex,Mouse,"P70281,Q8C5S7,Q920F6,Q9CW03",meiosis I;meiosis II;chromosome organization;nucleus
103,RNA polymerase II holoenzyme complex,Human,"O15514,P13984,P18074,P19387,P19388,P19447,P20226,P24928,P29083,P29084,P30876,P32780,P35269,P36954,P52434,P52435,P53803,P61218,P62487,P62875,Q00403,Q13888,Q13889,Q92759","transcription, DNA-templated;DNA binding;nucleus"
104,RNA polymerase II core complex,Human,"O15514,P19387,P19388,P24928,P30876,P36954,P52434,P52435,P53803,P61218,P62487,P62875","transcription, DNA-templated;DNA binding;nucleus"
106,Srf-myogenin-E12 complex,Mouse,"P12979,P15806,Q9JM73","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;cell differentiation;muscle organ development"
107,TFIIH transcription factor complex,Human,"P18074,P19447,P32780,P50613,P51946,P51948,Q13888,Q13889,Q92759","DNA repair;cell cycle;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus;ATPase activity;kinase activity;phosphorylation of RNA polymerase II C-terminal domain"
109,"Fertilin complex (Adam1b, Adam2)",Mouse,"Q60718,Q8R534",protein transport;protein transporter activity
112,Prefoldin complex,Human,"O15212,O60925,P61758,Q99471,Q9NQP4,Q9UHV9",protein stabilization;protein folding;cytoskeleton organization;actin cytoskeleton organization
114,SNAPc (small nuclear RNA-activating protein) complex,Human,"O75971,Q13487,Q16533,Q5SXM2,Q92966","regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein binding;DNA binding;nucleus"
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",Human,"O00257,O60264,P0DMV8,P25490,P35226,P78364,Q06587,Q14781,Q8IXK0,Q8NDX5,Q96GD3,Q99496,Q9HC52","DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein hydroxylation;protein methylation;chromosome organization;nucleus"
117,GPR56-CD81-Galpha(q/11)-Gbeta complex,Human,"P29992,P50148,P60033,P62873,Q9Y653",
