ComplexID,ComplexName,Subunits_UniProt_IDs
Complex_0,"(ER)-localized multiprotein complex, Ig heavy chains associated_413",DNAJB11:HSP90B1:HSPA5:HYOU1:P4HB:PDIA4:SDF2L1:UGGT1
Complex_1,"(ER)-localized multiprotein complex, Ig heavy chains associated_413",DNAJB11:HSP90B1:HSPA5:HYOU1:P4HB:PDIA4:PPIB:SDF2L1:UGGT1
Complex_2,12S U11 snRNP_1068,SNRPD1:SNRPD3:SNRPF:TOE1:YBX1
Complex_3,12S U11 snRNP_1068,SNRPD1:SNRPD2:SNRPD3:SNRPE:SRSF7:TOE1:YBX1
Complex_4,17S U2 snRNP_2755,DDX46:DHX15:DNAJC8:HMG20B:HSPD1:PHF5A:PUF60:SF3A1:SF3A2:SF3A3:SF3B1:SF3B2:SF3B3:SF3B6:SNRPA1:SNRPB2:SNRPD1:SNRPD3:SNRPF:SRSF1:TRAP1:U2AF2
Complex_5,17S U2 snRNP_2755,DDX46:DHX15:DNAJC8:HMG20B:HSPD1:PHF5A:PUF60:SF3A1:SF3A2:SF3A3:SF3B1:SF3B2:SF3B3:SF3B5:SF3B6:SNRPA1:SNRPB2:SNRPD1:SNRPD2:SNRPD3:SNRPE:SRSF1:TRAP1:U2AF2:U2SURP
Complex_6,18S U11/U12 snRNP_430,DHX15:PRPF8:SF3B1:SF3B2:SF3B3:SF3B6:SNRPD1:SNRPD3:SNRPF:YBX1
Complex_7,18S U11/U12 snRNP_430,DHX15:SF3B1:SF3B2:SF3B3:SF3B5:SF3B6:SNRPD1:SNRPD2:SNRPD3:SNRPE:YBX1
Complex_8,20S methylosome-SmD complex_819#20S methylosome and RG-containing Sm protein complex_834,CLNS1A:PRMT5:SNRPD1:SNRPD3
Complex_9,20S proteasome_191,PSMA1:PSMA2:PSMA3:PSMA4:PSMA5:PSMA6:PSMA7:PSMB1:PSMB2:PSMB3:PSMB4:PSMB5:PSMB6:PSMB7
Complex_10,26S proteasome_181,PSMA1:PSMA2:PSMA3:PSMA4:PSMA5:PSMA6:PSMA7:PSMB1:PSMB2:PSMB3:PSMB4:PSMB5:PSMB6:PSMB7:PSMC1:PSMC2:PSMC3:PSMC4:PSMC5:PSMC6:PSMD13:PSMD4
Complex_11,"28S ribosomal subunit, mitochondrial_315",DAP3:MRPS10:MRPS11:MRPS14:MRPS15:MRPS16:MRPS17:MRPS18A:MRPS18B:MRPS2:MRPS21:MRPS22:MRPS23:MRPS24:MRPS25:MRPS26:MRPS27:MRPS28:MRPS30:MRPS31:MRPS34:MRPS35:MRPS36:MRPS5:MRPS6:MRPS7:MRPS9
Complex_12,3-methylcrotonyl-CoA carboxylase_7190,MCCC1:MCCC2
Complex_13,"39S ribosomal subunit, mitochondrial_324",MRPL1:MRPL10:MRPL11:MRPL12:MRPL13:MRPL14:MRPL15:MRPL16:MRPL17:MRPL18:MRPL19:MRPL2:MRPL20:MRPL21:MRPL22:MRPL23:MRPL24:MRPL27:MRPL28:MRPL3:MRPL30:MRPL32:MRPL34:MRPL37:MRPL38:MRPL39:MRPL4:MRPL40:MRPL41:MRPL43:MRPL44:MRPL45:MRPL46:MRPL47:MRPL48:MRPL49:MRPL50:MRPL53:MRPL55:MRPL9
Complex_14,"39S ribosomal subunit, mitochondrial_324",MRPL1:MRPL10:MRPL11:MRPL12:MRPL13:MRPL14:MRPL15:MRPL16:MRPL17:MRPL18:MRPL19:MRPL2:MRPL20:MRPL21:MRPL22:MRPL23:MRPL24:MRPL27:MRPL28:MRPL3:MRPL30:MRPL32:MRPL34:MRPL35:MRPL37:MRPL38:MRPL39:MRPL4:MRPL40:MRPL41:MRPL43:MRPL44:MRPL45:MRPL46:MRPL47:MRPL48:MRPL49:MRPL50:MRPL53:MRPL55:MRPL9
Complex_15,4E-T-DDX6-CNOT1 complex_6395,CNOT1:DDX6
Complex_16,"55S ribosome, mitochondrial_320",DAP3:MRPL1:MRPL10:MRPL11:MRPL12:MRPL13:MRPL14:MRPL15:MRPL16:MRPL17:MRPL18:MRPL19:MRPL2:MRPL20:MRPL21:MRPL22:MRPL23:MRPL24:MRPL27:MRPL28:MRPL3:MRPL30:MRPL32:MRPL34:MRPL37:MRPL38:MRPL39:MRPL4:MRPL40:MRPL41:MRPL43:MRPL44:MRPL45:MRPL46:MRPL47:MRPL48:MRPL49:MRPL50:MRPL53:MRPL55:MRPL9:MRPS10:MRPS11:MRPS14:MRPS15:MRPS16:MRPS17:MRPS18A:MRPS18B:MRPS2:MRPS21:MRPS22:MRPS23:MRPS24:MRPS25:MRPS26:MRPS27:MRPS28:MRPS30:MRPS31:MRPS34:MRPS35:MRPS36:MRPS5:MRPS6:MRPS7:MRPS9
Complex_17,"55S ribosome, mitochondrial_320",DAP3:MRPL1:MRPL10:MRPL11:MRPL12:MRPL13:MRPL14:MRPL15:MRPL16:MRPL17:MRPL18:MRPL19:MRPL2:MRPL20:MRPL21:MRPL22:MRPL23:MRPL24:MRPL27:MRPL28:MRPL3:MRPL30:MRPL32:MRPL34:MRPL35:MRPL37:MRPL38:MRPL39:MRPL4:MRPL40:MRPL41:MRPL43:MRPL44:MRPL45:MRPL46:MRPL47:MRPL48:MRPL49:MRPL50:MRPL53:MRPL55:MRPL9:MRPS10:MRPS11:MRPS14:MRPS15:MRPS16:MRPS17:MRPS18A:MRPS18B:MRPS2:MRPS21:MRPS22:MRPS23:MRPS24:MRPS25:MRPS26:MRPS27:MRPS28:MRPS30:MRPS31:MRPS34:MRPS35:MRPS36:MRPS5:MRPS6:MRPS7:MRPS9
Complex_18,7SK RNP complex_7566,CCNT1:CDK9:HEXIM1:LARP7
Complex_19,7SK RNP complex_7566,CDK9:HEXIM1:LARP7
Complex_20,9-1-1-APE1 complex_2808,APEX1:HUS1:RAD1
Complex_21,9-1-1-APE1 complex_2808,APEX1:RAD1
Complex_22,9-1-1-LIG1 complex_2196,HUS1:LIG1:RAD1
Complex_23,9-1-1-LIG1 complex_2196,LIG1
Complex_24,9-1-1-RAD17-RFC complex_274,HUS1:RAD1:RFC2:RFC4:RFC5
Complex_25,9-1-1-RAD17-RFC complex_274,RAD1:RFC2:RFC4:RFC5
Complex_26,9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex_25,AIP:HSP90AA1:HSP90AB1
Complex_27,ABI3-WAVE2-CYFIP1 complex_6991,CYFIP1:WASF2
Complex_28,ABRAXAS2-SHMT1 complex_7113,ABRAXAS2
Complex_29,ABRAXAS2-SHMT1 complex_7113,ABRAXAS2:SHMT1
Complex_30,ABRAXAS2-SHMT2 complex_7114,ABRAXAS2:SHMT2
Complex_31,ACK1 signaling complex_6164,BCAR1:CDC42
Complex_32,ACTN1-PARVB complex_4025,ACTN1:PARVB
Complex_33,ACTN1-PARVB complex_4025,ACTN1
